"StationId","Name","Domain","Stipend","Location","Branches","Project Description","Reqd Skill Sets","Reqd Electives",
"4959","10dem Education(Delhi)","","15000","Delhi","Any","PROJECT-1: The project expectations are a mix of creative and operational requirements - Enhance the efficiency of user registration process of the platform - Enhancing the current communication capabilities of the platform - Come up with a creative design to enhance user experience of users of the platform. - Create a design document and support Technical implementation - Any other related technical requirements during the evolution of the project The project gives an opportunity to work and get mentored with a dynamic team with experience at some big names in the industry. The current technology stack of platform includes - Adonis/Angular Framework - Node.js - Python - Javascript - MS SQL - MS Azure - AWS The key skills include ability to - Creative bend of mind - Understand the existing technology stack and comprehend the same for improvements - Visualize the changes and impact the changes will have on functioning and performance of platform - Test the code in test environment and implement the same in production environment without impacting the stability of the same
","PROJECT-1: -
","PROJECT-1: -
",
"3880","ABB Global Industries and Services Private Limited(Bangalore)","Electronics","25000","Bangalore","A4, A7, AB,","PROJECT-1: Inventory Management: Python, PowerBI, Inventory management, Production Management
PROJECT-2: Data Analytics: Python, R, Azure or Programing: AngularJS, C+, PowerBI
","PROJECT-1: Phython , Project management , Python
PROJECT-2: Angular Js , Azure , C++ , Python, R
","PROJECT-1: -
PROJECT-2: -
",
"4854","Abhyaas Edu Technologies Pvt. Ltd.(Hyderabad)","IT","7000","Hyderabad","Any","PROJECT-1: We have E-Learning portals known as lawprep.in & iitprep.in. Looking for candidates who can support us in increasing the website traffic, leads & conversions. Skills: Google Ad words, SEO , SMM & graphic designing Writing Ability Digital Marketing course would be an advantage Google Ad words, SEO & SMM
PROJECT-2: We need to develop overall edu system for Abhyaas Edu Technologies Pvt Ltd, It has multiple modules like Human Resource Management System, Employee Management System, Student Management System, ERP Management System, Online Exam Management System, E-Learning Solutions. Each module performs a separate function within the Edu System. For this project we are using PHP Laravel web application framework. Project domain Edmark.in Skills: PHP LARAVEL, JAVA SCRIPT, MYSQL • Laravel web application framework • JAVA SCRIPT
","PROJECT-1: -
PROJECT-2: -
","PROJECT-1: -
PROJECT-2: -
",
"785","Access Livelihoods Consulting India (Formerly Chitika)(Hyderabad)","IT","15000","Hyderabad","A7,","PROJECT-1: Project Domain: Information Technology Application in Agriculture Skills: Understanding of Enterpirses software, Saas, Basics of IoT Good communication analytical and representation skills. Should have an entrepreneurial Orientation emerging software applications IoT Application in rural enterprises Enterprise software Development Business Management
","PROJECT-1: -
","PROJECT-1: -
",
"5102","ACSZ Tech PVt. Ltd(Chennai)","","10000","Chennai","","PROJECT-1: -
","PROJECT-1: -
","PROJECT-1: -
",
"4971","ActiveBuildings(Mumbai)","","10000","Mumbai","A4,","PROJECT-1: Help ActiveBuildings grow the business by interacting with new and different channel partners.
","PROJECT-1: -
","PROJECT-1: -
",
"4118","Adani Power(Ahmedabad)","Mechanical","","Ahmedabad","A4,","PROJECT-1: Boiler tube leakage types and remedies in a power plant.
PROJECT-2: Study of Cooling tower fan failures in a power plant.
PROJECT-3: Cooling tower performance improvement in a power plant.
PROJECT-4: Estimation of Heat Rate deterioration due to HP bypass valve passing in a power plant.
PROJECT-5: Residual life analysis of Power Transformers in a power plant.
PROJECT-6: Reliability improvement in HT Switchgears for power plant applications.
PROJECT-7: Reliability improvement in Battery System for power plant applications.
PROJECT-8: EHV Equipment Condition Monitoring Application Development for a power plant
PROJECT-9: Improving reliability of BC Net Communication in GE Make OC4000 DCS
","PROJECT-1: -
PROJECT-2: -
PROJECT-3: -
PROJECT-4: -
PROJECT-5: -
PROJECT-6: -
PROJECT-7: -
PROJECT-8: -
PROJECT-9: -
","PROJECT-1: -
PROJECT-2: -
PROJECT-3: -
PROJECT-4: -
PROJECT-5: -
PROJECT-6: -
PROJECT-7: -
PROJECT-8: -
PROJECT-9: -
",
"5008","Adani Transmission Ltd.,(Ahmedabad)","","8000","Ahmedabad","A7, C6,","PROJECT-1: 1. Automating Dashboard Data assembly on the fly 2. 3D Printing Parts automation 3. App for Tech. Track 4. RE Hybrid System Design with HOMER and other Open Source RE System So??ware 5. ‘innovation Fair Management App 6. RT Test & Inspection System app 7. FQA Data Acquisition and App integration
","PROJECT-1: -
","PROJECT-1: -
",
"3253","Aditya Birla Group -Data and Analytics(Bangalore)","IT","15000","Bangalore","A3, A7, A8, AA,","PROJECT-1: Details awaited
","PROJECT-1: -
","PROJECT-1: -
",
"678","Aditya Birla Insulators(Halol)","Mechanical","10000","Halol","A3,","PROJECT-1: -
","PROJECT-1: -
","PROJECT-1: -
",
"328","Aditya Birla Science & Technology Company Ltd.(Mumbai)","Chemical","10000","Mumbai","A1,","PROJECT-1: Chemical engineering assignments
","PROJECT-1: -
","PROJECT-1: -
",
"762","Adobe Systems(Bangalore)","IT","","Bangalore","","PROJECT-1: -
","PROJECT-1: -
","PROJECT-1: -
",
"4042","AECOM(Mumbai)","Infrastructure","","Mumbai","A2,","PROJECT-1: Projects related to Civil
","PROJECT-1: -
","PROJECT-1: -
",
"2767","AFour Technologies Pvt. Ltd.(Pune)","IT","30000","Pune","Any","PROJECT-1: Digital transformation platform consists of various services m towards digitizing current manual processes as well as enhancing assistant digital solutions. Another goal of digital transformation is to venture clean data collection and hand making kit available for taking and informed decisions. This will need excellent design, programming skills and ability to understand various business processes. Necessary training will be imparted depending upon the nature of component your building and the application architecture. Project domain : Digital transformation, software product engineering and data engineering Skills: • Very good programming skills with any one of these languages (Python / Java / JavaScript) are a must • Skills of web frameworks such as React / Angular are a plus • SQL / NoSQL database knowledge / skills are a plus • Having knowledge of Dockers as well as Kubernetes is a plus • Understanding of Microservices Architecture is a plus Familiarity with at least one of the cloud ecosystems (E.g. Azure / AWS / GCP / Openstack) is a plus Very good team player, good communication software technology Enthusiasts Any programming languages from following Python / Java / JavaScript Good English communication skills is must Ability to design components of enterprise software solutions • Digital transformation stages • Applying technology, processes, and people together to solve techno-commercial problems • Python / Java / MEARN • SQL / NoSQL database skills • Microservices based architecture design and development • UI frameworks like React / Angular • Dockers and Kubernetes Azure / AWS / GCP / Openstack
","PROJECT-1: -
","PROJECT-1: -
",
"4934","Agami Realty(Mumbai)","Infrastructure","5000","Mumbai","A2,","PROJECT-1: Looking to develop a template of smart features set, sustainable feature set while keeping the product affordable. We expect the students to work on integration of various elements of smart homes and sustainable homes and create a product which will suit the need and requirement of home buyers. It also includes costing and implementation in our ongoing residential development. Project domain Civil Engineering Expected learning (in bullet points) Residential Development, Site Construction
","PROJECT-1: -
","PROJECT-1: -
",
"4935","Agami Realty(Palghar)","Infrastructure","5000","Palghar","A2,","PROJECT-1: Looking to develop a template of smart features set, sustainable feature set while keeping the product affordable. We expect the students to work on integration of various elements of smart homes and sustainable homes and create a product which will suit the need and requirement of home buyers. It also includes costing and implementation in our ongoing residential development. Project domain Civil Engineering Expected learning (in bullet points) Residential Development, Site Construction
","PROJECT-1: -
","PROJECT-1: -
",
"5016","Airmeet(Bangalore)","","30000","Bangalore","A4,","PROJECT-1: ? Assist in International Expansion of Airmeet through experimenting & executing business strategies ? Own Customer Journey and liaise with Airmeet clients Project domain Business Strategy Skills: Some exposure to concepts of process building and supply chain
PROJECT-2: Assist in Business Development & community Engagement Strategies Project domain: Business Development Skills: Excellent Communication & Stakeholder Management Skills Leadership position in any activities and exposure to Airmeet/virtual platforms will be preferred Expected learning (in bullet points) ? Business Strategy ? Creating & Leading Start-ups ? Business Development ? Key Account Management
PROJECT-3: ? Assist in International Expansion of Airmeet through experimenting & executing business strategies ? Own Customer Journey and liaise with Airmeet clients ? Lead Funnel Analysis Project domain : Business Strategy Skills: Excellent Communication & Stakeholder Management Skills
","PROJECT-1: -
PROJECT-2: -
PROJECT-3: -
","PROJECT-1: -
PROJECT-2: -
PROJECT-3: -
",
"4882","Alien Developers(Hyderabad)","Infrastructure","10000","Hyderabad","A2,","PROJECT-1: Projects related to Civil Engineering
","PROJECT-1: -
","PROJECT-1: -
",
"3617","AlmaConnect(Gurgaon)","Finance and Mgmt","20000","Gurgaon","Any","PROJECT-1: (Business Development, CRM, Operations, Product Management, Data Analytics); Stipend 20k remote and 25k physical
","PROJECT-1: -
","PROJECT-1: -
",
